round,candidate,density_scale,hmf2_shift_km,total_score,return_distance,nose,ridge
3,27,1.13003096986,12.99603935427,0.018927047489267664,0.022745117366948467,0.0,0.03208616468723002
3,28,1.12136940939,12.941244014385,0.05081136378576561,0.044230360887249756,0.06249999999999978,0.0542983264888915
3,29,1.11632152394,15.670722294932,0.06932912963100726,0.06651746596342328,0.06249999999999978,0.08559761675562258
3,30,1.126086696282,12.664657946216,0.02811486787563816,0.0347092100436981,0.0,0.04512401175802103
3,31,1.135340783199,14.426281301702,0.07458866520072534,0.0740284093428989,0.06249999999999978,0.09124020031065502
3,32,1.119889529944,12.881798618,0.05655301098416514,0.050896431089671616,0.06249999999999978,0.06467486942422901
3,33,1.110776109418,9.778203646267,0.14481469419279724,0.15099127648726507,0.06249999999999978,0.2307224606240075
3,34,1.129598511569,13.994110097014,0.05239034075756961,0.045662806832534375,0.06249999999999978,0.058253984998378826
3,35,1.182102010971,11.892474270708,0.1876383550839532,0.15256120984852242,0.2500000000000002,0.20614844833632912
3,36,1.153917233214,9.657648018794,0.07220938366809583,0.05107971575333923,0.12499999999999956,0.06432770001879683
3,37,1.123564591341,15.364105339185,0.05779819000376167,0.071018012892791,0.0,0.09369141456363311
3,38,1.120788611443,16.567311591974,0.07732179510115408,0.09542502632326928,0.0,0.1241901531167799
3,39,1.120313595164,16.41213541344,0.07462141940316919,0.09202293030872123,0.0,0.12004403866686256
3,40,1.133159244157,15.864911361437,0.10539517311240285,0.11236613819929817,0.06249999999999978,0.1398439855139445
